@relation out2

@attribute NomSociete {Accytime,'Adria Business & Technology',Altados,'ALTEN Maroc','Alter Ipso',Aria,'ARIA Tech',Atos,'Atos ','Attijariwafa bank','AXA Group Operations Maroc','AXA Rabat (Axa Services)','BMCI Groupe BNP Paribas',Capgemini,'CGI Technologies et Solutions Maroc',Cnexia,'Deloitte Nearshore',DEVINK,DigitalentRH,'DXC Technology Maroc','Eca Assurances','Econocom Maroc','EnerGetic Link',Eumatech,'Excel Management Conseil','Groupe Adaming','Groupe Label Vie','Hit Radio','HPS Maroc',Intelcia,'Intelcia ITS',Intelcom,'INTM Mediterranée',Involys,'La Marocaine vie','LCI Education','Leet initiative',Leyton,'Lydec et SUEZ',Majorel,'Manpower Agences','Maroc Climate and Security (MCS) - Carrier','Meski Invest - Riva Industries',Neosys,OBS,'Oceane Consulting',Omnishore,Opus.RH,'ORH Assessment','Perenity Software',Preci,ReKrute,Richbond,'Sitel Group','Société Générale Maroc','Sofrecom Services Maroc','SQLI Maroc',TeamDEV,'TNC  The Next Clic ',Umanis,'Utac Ceram Maroc','Webhelp Maroc',Welink}
@attribute Python {false,true}
@attribute Java {false,true}
@attribute Html {false,true}
@attribute Css {false,true}
@attribute Js {false,true}
@attribute Sql {false,true}
@attribute Laravel {false,true}

@data
'BMCI Groupe BNP Paribas',false,false,false,false,false,true,false
'BMCI Groupe BNP Paribas',false,false,false,false,false,false,false
'BMCI Groupe BNP Paribas',false,false,false,false,false,false,false
'BMCI Groupe BNP Paribas',false,false,false,false,false,false,false
Capgemini,false,true,false,false,false,false,false
'CGI Technologies et Solutions Maroc',false,false,false,false,false,false,false
'CGI Technologies et Solutions Maroc',false,false,false,false,false,false,false
'CGI Technologies et Solutions Maroc',false,true,false,false,false,false,false
'CGI Technologies et Solutions Maroc',false,true,false,false,true,false,false
'CGI Technologies et Solutions Maroc',false,false,false,false,false,false,false
'CGI Technologies et Solutions Maroc',false,true,false,false,false,false,false
'CGI Technologies et Solutions Maroc',false,false,false,false,false,false,false
'CGI Technologies et Solutions Maroc',false,false,false,false,false,false,false
'CGI Technologies et Solutions Maroc',false,true,false,false,true,false,false
'CGI Technologies et Solutions Maroc',false,false,false,false,false,false,false
Cnexia,false,false,false,false,false,false,false
Cnexia,false,false,false,false,false,false,false
'Deloitte Nearshore',false,false,false,false,false,false,false
'Deloitte Nearshore',false,false,false,false,false,false,false
'Deloitte Nearshore',false,false,false,false,false,false,false
'Deloitte Nearshore',false,false,false,false,false,false,false
'Deloitte Nearshore',false,false,false,false,false,false,false
'Deloitte Nearshore',false,false,false,false,false,false,false
'Deloitte Nearshore',false,false,false,false,false,false,false
'Deloitte Nearshore',false,false,false,false,false,false,false
'Deloitte Nearshore',false,false,false,false,false,false,false
'Deloitte Nearshore',false,false,false,false,false,false,false
'Deloitte Nearshore',false,false,false,false,false,false,false
'Deloitte Nearshore',false,false,false,false,false,false,false
'Deloitte Nearshore',false,false,false,false,false,false,false
'Deloitte Nearshore',false,false,false,false,false,false,false
'Deloitte Nearshore',false,false,false,false,false,false,false
DEVINK,false,false,false,false,false,false,false
DigitalentRH,false,false,false,false,false,true,false
'DXC Technology Maroc',false,false,false,false,false,true,false
'DXC Technology Maroc',false,false,false,false,false,false,false
'DXC Technology Maroc',false,false,false,false,false,false,false
'DXC Technology Maroc',false,false,false,false,false,true,false
'DXC Technology Maroc',false,false,false,false,false,false,false
'DXC Technology Maroc',true,false,false,false,false,true,false
'DXC Technology Maroc',false,false,false,false,false,false,false
'DXC Technology Maroc',false,true,false,false,false,false,false
'DXC Technology Maroc',false,false,false,false,false,false,false
'Eca Assurances',false,false,false,false,false,true,true
'Econocom Maroc',false,false,false,false,false,false,false
'EnerGetic Link',false,false,false,false,false,false,false
Eumatech,false,true,false,false,true,false,false
Eumatech,false,false,false,false,false,true,false
